20160801;000000;137.7100000;138.6900000;136.6500000;136.9300000;20353420
20160802;000000;137.0000000;137.1000000;134.2000000;134.5000000;26028980
20160803;000000;134.4400000;134.9000000;133.2000000;134.0400000;25405270
20160804;000000;134.8900000;136.7000000;134.8900000;136.7000000;25720000
20160805;000000;136.5500000;137.3300000;134.6500000;135.5000000;23375480
20160808;000000;136.0100000;137.5000000;135.7200000;137.4700000;22195680
20160809;000000;137.1200000;138.3900000;136.9300000;137.3400000;22323270
20160810;000000;137.3600000;138.6500000;137.0000000;137.4000000;21427440
20160811;000000;137.1000000;137.4900000;136.0500000;137.1900000;23156400
20160812;000000;137.4000000;138.4000000;137.0300000;137.8300000;20663170
20160815;000000;138.0300000;138.7000000;137.3700000;138.0000000;20760340
20160816;000000;138.0000000;139.3700000;137.1800000;137.9900000;28995860
20160817;000000;137.8000000;137.8000000;136.2600000;137.6800000;18189220
20160818;000000;137.5000000;138.4900000;137.3300000;138.4000000;19260560
20160819;000000;138.5000000;138.7800000;136.8000000;136.8000000;15215430
20160822;000000;136.7700000;137.8100000;136.0400000;137.8000000;13031190
20160823;000000;137.3200000;137.9000000;136.7600000;137.3700000;14092730
20160824;000000;137.2600000;137.4300000;136.2600000;137.0000000;13516700
20160825;000000;136.5100000;136.7400000;134.5000000;135.4200000;21004850
20160826;000000;135.3000000;136.4000000;134.3200000;136.2000000;20884980
20160829;000000;135.4300000;136.2000000;134.5000000;136.2000000;10441440
20160830;000000;136.2000000;136.8400000;135.5000000;135.5900000;16257610
20160831;000000;135.5500000;135.8100000;134.0000000;134.9500000;30188120
20160901;000000;135.0100000;135.8700000;134.2700000;134.9900000;21044270
20160902;000000;135.2900000;136.3500000;134.8000000;135.5500000;15665390
20160905;000000;136.0100000;137.1900000;135.7600000;136.0500000;23151350
20160906;000000;136.8600000;141.4000000;136.6100000;141.4000000;60243710
20160907;000000;141.8000000;143.4500000;141.4200000;143.0800000;49276530
20160908;000000;143.6100000;143.8300000;140.7700000;141.4500000;29096080
20160909;000000;140.8800000;140.8900000;138.5400000;138.5400000;24763060
20160912;000000;137.5000000;139.5900000;136.5300000;138.9300000;25944180
20160913;000000;138.7600000;139.7200000;138.0000000;138.4500000;16230720
20160914;000000;138.3600000;139.5700000;137.6400000;139.3500000;22805650
20160915;000000;139.2500000;139.2500000;136.5500000;137.6000000;24104480
20160916;000000;137.7000000;138.0000000;134.7300000;136.4700000;28895410
20160919;000000;136.8700000;138.1500000;136.1200000;136.5900000;16783020
20160920;000000;136.2000000;137.0200000;135.1800000;137.0000000;18088760
20160921;000000;137.2100000;137.4800000;135.5000000;136.2500000;15941150
20160922;000000;136.8600000;137.0500000;135.2300000;136.7000000;28973080
20160923;000000;136.2700000;137.8400000;135.2600000;136.7000000;29099120
20160926;000000;136.3800000;136.3900000;134.8000000;135.2600000;25528700
20160927;000000;135.5700000;135.5800000;133.8800000;133.9200000;24085290
20160928;000000;134.3600000;134.9000000;133.5700000;134.0900000;19232780
20160929;000000;135.4000000;136.8000000;135.0000000;135.3100000;23852960
20160930;000000;135.0000000;135.9500000;134.2600000;134.9000000;23620900
